week,video_number,video_title,topic,views,unique_viewers,length,reupload
1,1,intro_course_details,course_logistics,64,41,11:51,0
1,2,intro_what_is_info550_about,course_logistics,50,37,4:47,0
1,3,intro_reproducibility,course_logistics,43,34,17:56,0
1,4,The Importance of Reproducible Research in High-Throughput Biology,course_logistics,17,16,1:04:56,0
1,1,mac_install_r_rstudio,mac_install,27,23,5:47,0
1,2,mac_install_homebrew_git,mac_install,46,27,5:23,0
1,3,mac_install_bash,mac_install,37,19,3:49,0
1,4,mac_configure_git,mac_install,23,19,1:05,0
1,5,mac_more_on_homebrew,mac_install,27,18,2:35,0
1,1,windows_install_R_Rstudio_git,windows_install,40,25,9:57,0
1,2,windows_add_R_to_path,windows_install,50,26,2:49,0
1,3,windows_rstudio_configure_gitbash,windows_install,55,26,1:42,0
1,4,windows_add_pandoc_to_path,windows_install,40,22,2:06,0
2,1,terminal_motivation_and_terminology,terminal,67,44,4:50,0
2,2,terminal_for_windows,terminal,48,32,9:16,0
2,3,terminal_for_mac,terminal,39,23,6:17,0
2,4,terminal_navigation,terminal,70,43,8:47,0
2,5,terminal_mkdir_touch,terminal,74,40,1:42,0
2,6,terminal_copy_move_files,terminal,65,38,8:02,0
2,7,teminal_shortcuts,terminal,59,38,5:25,0
2,8,terminal_absolute_vs_relative_filepath,terminal,78,42,8:54,0
2,9,terminal_command_options,terminal,68,37,7:02,0
2,10,terminal_wildcards,terminal,60,37,5:15,0
2,11,terminal_variables,terminal,60,35,4:58,0
2,12,terminal_command_substitution,terminal,52,34,1:03,0
2,13,terminal_for_loops,terminal,54,34,8:33,0
2,14,terminal_viewing_files,terminal,52,33,3:27,0
2,15,terminal_redirect_grep,terminal,71,36,6:42,0
2,16,terminal_pipes,terminal,64,34,3:29,0
2,17,temrinal_IDEs,terminal,51,32,10:03,0
2,18,terminal_shell_scripts,terminal,54,30,7:21,0
2,19,Sequence 09,terminal,38,28,3:51,0
3,1,rmarkdown_01_motivations_edited,rmarkdown,3,2,9:47,1
3,2,rmarkdown_02_installing_rmarkdown,rmarkdown,55,39,3:47,0
3,3,rmarkdown_03_anatomy_of_rmd,rmarkdown,66,41,2:57,0
3,4,rmarkdown_04_exploring,rmarkdown,69,41,8:43,0
3,5,rmarkdown_05_r_code_in_rmd,rmarkdown,67,41,6:31,0
3,6,rmarkdown_06_tinytex,rmarkdown,71,39,3:48,0
3,7,rmarkdown_07_yaml_header,rmarkdown,66,39,6:54,0
3,8,rmarkdown_08_including_latex_html,rmarkdown,65,38,4:11,0
3,9,rmarkdown_09_code_chunk_opts,rmarkdown,61,39,4:39,0
3,10,rmarkdown_10_under_the_hood,rmarkdown,52,37,3:02,0
3,11,rmarkdown_11_under_the_hood_demo,rmarkdown,57,35,6:11,0
4,1,rmarkdown2_01_install_packages,rmarkdown,63,35,1:19,0
4,2,rmarkdown2_02_tables,rmarkdown,66,35,19:23,0
4,3,rmarkdown2_03_figures,rmarkdown,50,33,8:08,0
4,4,rmarkdown2_04_regressions,rmarkdown,47,32,6:45,0
4,5,rmarkdown2_05_set_global_chunk_options,rmarkdown,47,33,2:56,0
4,6,rmarkdown2_06_dynamically_setting_code_chunk_opts,rmarkdown,50,33,8:25,0
4,7,rmarkdown2_07_render_from_cli,rmarkdown,57,31,4:37,0
4,8,rmarkdown2_08_parameterized_reports,rmarkdown,52,33,6:09,0
4,9,rmarkdown2_09_parameterizing_hiv_report,rmarkdown,47,28,9:25,0
5,1,projectorg_01_why_organize,project_org,54,38,7:31,0
5,2,projectorg_02_project_oriented_workflows,project_org,70,38,7:45,0
5,3,projectorg_03a_here_pkg,project_org,64,34,8:12,0
5,4,projectorg_03b_here_pkg_hiv_report,project_org,59,35,2:40,0
5,5,projectorg_04_modularizing_code,project_org,58,35,9:38,0
5,6,projectorg_05_saveRDS_readRDS,project_org,57,34,7:29,0
5,7,projectorg_06a_make_table1,project_org,47,32,4:41,0
5,8,projectorg_06b_make_scatterplot,project_org,40,30,4:56,0
5,9,projectorg_07_models,project_org,32,24,7:36,1
5,10,projectorg_07a_rebuilding_report,project_org,50,32,6:30,0
5,11,projectorg_07b_rendering_report,project_org,45,29,3:04,0
6,1,projectorg_09a_config_pkg_intro,project_org,72,35,7:19,0
6,2,projectorg_09b_config_update_r_scripts,project_org,61,35,7:38,0
6,3,projectorg_09c_rerender_report_w_config,project_org,54,33,8:52,0
6,4,projectorg_10a_sysgetenv,project_org,65,31,4:37,0
6,5,projectorg_10c_renaming_output,project_org,56,28,4:32,0
6,6,make_01a_motivation,make,40,29,1:23,0
6,7,make_01b_install,make,50,31,3:22,0
6,8,make_02_first_rule,make,54,30,6:45,0
6,9,make_03_build_logic,make,48,29,3:05,0
6,10,make_04_second_rule,make,45,29,6:19,0
6,11,make_05_clean_rule,make,38,26,1:58,0
6,12,make_06_phony_targets,make,34,28,2:43,0
6,13,make_07_descriptive_analysis,make,35,24,5:50,0
6,14,make_08_grouped_target,make,34,23,8:37,0
6,15,make_09_rendering_full_report,make,32,23,7:52,0
6,16,make_10_flexible_report,make,26,18,5:13,0
6,17,make_11_final_note,make,20,17,2:23,0